21:15:36.462 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
21:15:36.485 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression5931434480644994429.so: /tmp/mleukam/libgkl_compression5931434480644994429.so: failed to map segment from shared object: Operation not permitted)
21:15:36.487 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
21:15:36.506 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression7364374141984639527.so: /tmp/mleukam/libgkl_compression7364374141984639527.so: failed to map segment from shared object: Operation not permitted)
21:15:36.683 INFO  BaseRecalibrator - ------------------------------------------------------------
21:15:36.683 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.0.6.0
21:15:36.684 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
21:15:36.685 INFO  BaseRecalibrator - Executing as mleukam@cri16cn047 on Linux v2.6.32-573.12.1.el6.x86_64 amd64
21:15:36.685 INFO  BaseRecalibrator - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_92-b14
21:15:36.686 INFO  BaseRecalibrator - Start Date/Time: February 17, 2019 9:15:36 PM CST
21:15:36.686 INFO  BaseRecalibrator - ------------------------------------------------------------
21:15:36.686 INFO  BaseRecalibrator - ------------------------------------------------------------
21:15:36.687 INFO  BaseRecalibrator - HTSJDK Version: 2.16.0
21:15:36.687 INFO  BaseRecalibrator - Picard Version: 2.18.7
21:15:36.687 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
21:15:36.687 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
21:15:36.687 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
21:15:36.687 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
21:15:36.687 INFO  BaseRecalibrator - Deflater: JdkDeflater
21:15:36.688 INFO  BaseRecalibrator - Inflater: JdkInflater
21:15:36.688 INFO  BaseRecalibrator - GCS max retries/reopens: 20
21:15:36.688 INFO  BaseRecalibrator - Using google-cloud-java patch 6d11bef1c81f885c26b2b56c8616b7a705171e4f from https://github.com/droazen/google-cloud-java/tree/dr_all_nio_fixes
21:15:36.688 INFO  BaseRecalibrator - Initializing engine
21:15:37.266 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
21:15:37.273 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
21:15:37.720 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.indels.dbSNP142.normed.vcf
21:15:37.959 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.snps_all.dbSNP142.vcf
21:15:38.070 INFO  BaseRecalibrator - Done initializing engine
21:15:38.107 INFO  BaseRecalibrationEngine - The covariates being used here: 
21:15:38.108 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
21:15:38.108 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
21:15:38.108 INFO  BaseRecalibrationEngine - 	ContextCovariate
21:15:38.108 INFO  BaseRecalibrationEngine - 	CycleCovariate
21:15:38.112 INFO  ProgressMeter - Starting traversal
21:15:38.113 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
21:15:48.146 INFO  ProgressMeter -           10:3171554              0.2                 36000         215311.0
21:15:58.170 INFO  ProgressMeter -           10:3632870              0.3                287000         858595.9
21:16:08.194 INFO  ProgressMeter -           10:4259501              0.5                641000        1278547.9
21:16:18.204 INFO  ProgressMeter -           10:4904185              0.7                994000        1487615.7
21:16:28.212 INFO  ProgressMeter -           10:5597666              0.8               1367000        1637256.5
21:16:38.217 INFO  ProgressMeter -           10:6308258              1.0               1740000        1736989.2
21:16:48.244 INFO  ProgressMeter -           10:7034824              1.2               2107000        1802652.2
21:16:58.265 INFO  ProgressMeter -           10:7759955              1.3               2487000        1861712.7
21:17:08.265 INFO  ProgressMeter -           10:8437641              1.5               2869000        1909441.8
21:17:18.287 INFO  ProgressMeter -           10:9117318              1.7               3255000        1949607.7
21:17:28.297 INFO  ProgressMeter -           10:9815194              1.8               3637000        1980505.3
21:17:38.307 INFO  ProgressMeter -          10:10544090              2.0               4024000        2008752.5
21:17:48.317 INFO  ProgressMeter -          10:11297314              2.2               4412000        2033132.9
21:17:58.340 INFO  ProgressMeter -          10:12037099              2.3               4795000        2051673.4
21:18:08.346 INFO  ProgressMeter -          10:12775625              2.5               5182000        2069585.2
21:18:18.362 INFO  ProgressMeter -          10:13450909              2.7               5572000        2086253.3
21:18:28.374 INFO  ProgressMeter -          10:14130948              2.8               5960000        2100317.2
21:18:38.388 INFO  ProgressMeter -          10:14863784              3.0               6346000        2112106.5
21:18:48.392 INFO  ProgressMeter -          10:15735807              3.2               6727000        2121212.1
21:18:58.408 INFO  ProgressMeter -          10:16576316              3.3               7107000        2128959.8
21:19:08.417 INFO  ProgressMeter -          10:17406279              3.5               7502000        2140330.2
21:19:18.431 INFO  ProgressMeter -          10:18095649              3.7               7892000        2149266.7
21:19:28.451 INFO  ProgressMeter -          10:18785512              3.8               8280000        2156839.8
21:19:38.458 INFO  ProgressMeter -          10:19483125              4.0               8669000        2164139.1
21:19:48.480 INFO  ProgressMeter -          10:20180883              4.2               9059000        2170981.7
21:19:58.496 INFO  ProgressMeter -          10:20851716              4.3               9447000        2176878.6
21:20:08.508 INFO  ProgressMeter -          10:21548170              4.5               9840000        2183472.3
21:20:18.532 INFO  ProgressMeter -          10:22150325              4.7              10231000        2189089.1
21:20:28.555 INFO  ProgressMeter -          10:22811055              4.8              10597000        2189168.8
21:20:38.553 INFO  ProgressMeter -          10:23547519              5.0              10979000        2192584.2
21:20:48.573 INFO  ProgressMeter -          10:24265044              5.2              11360000        2195459.0
21:20:58.594 INFO  ProgressMeter -          10:24953130              5.3              11742000        2198327.5
21:21:08.616 INFO  ProgressMeter -          10:25652040              5.5              12125000        2201190.3
21:21:18.640 INFO  ProgressMeter -          10:26393299              5.7              12515000        2205111.5
21:21:28.658 INFO  ProgressMeter -          10:27117280              5.8              12901000        2208167.9
21:21:38.676 INFO  ProgressMeter -          10:27888038              6.0              13283000        2210382.7
21:21:48.697 INFO  ProgressMeter -          10:28624482              6.2              13672000        2213587.2
21:21:58.719 INFO  ProgressMeter -          10:29394401              6.3              14061000        2216623.0
21:22:08.722 INFO  ProgressMeter -          10:30195940              6.5              14457000        2220686.2
21:22:18.734 INFO  ProgressMeter -          10:30951353              6.7              14853000        2224496.5
21:22:28.748 INFO  ProgressMeter -          10:31693820              6.8              15245000        2227525.7
21:22:38.768 INFO  ProgressMeter -          10:32485555              7.0              15629000        2229237.7
21:22:48.781 INFO  ProgressMeter -          10:33298412              7.2              16015000        2231190.2
21:22:58.784 INFO  ProgressMeter -          10:34085856              7.3              16402000        2233230.7
21:23:08.806 INFO  ProgressMeter -          10:34824512              7.5              16794000        2235756.9
21:23:18.818 INFO  ProgressMeter -          10:35659705              7.7              17183000        2237831.2
21:23:28.831 INFO  ProgressMeter -          10:36480825              7.8              17573000        2239939.8
21:23:38.868 INFO  ProgressMeter -          10:37209480              8.0              17967000        2242469.2
21:23:48.862 INFO  ProgressMeter -          10:37978947              8.2              18362000        2244976.6
21:23:58.875 INFO  ProgressMeter -          10:38778158              8.3              18752000        2246815.9
21:24:08.892 INFO  ProgressMeter -          10:39473756              8.5              19145000        2248917.8
21:24:18.902 INFO  ProgressMeter -          10:40140552              8.7              19539000        2251084.4
21:24:28.924 INFO  ProgressMeter -          10:40831106              8.8              19934000        2253239.9
21:24:38.926 INFO  ProgressMeter -          10:41539835              9.0              20331000        2255604.1
21:24:48.928 INFO  ProgressMeter -          10:42217144              9.2              20724000        2257454.9
21:24:58.929 INFO  ProgressMeter -          10:42903623              9.3              21114000        2258922.7
21:25:08.952 INFO  ProgressMeter -          10:43601765              9.5              21510000        2260882.7
21:25:18.966 INFO  ProgressMeter -          10:44272309              9.7              21904000        2262603.4
21:25:28.982 INFO  ProgressMeter -          10:44975330              9.8              22304000        2264879.0
21:25:38.990 INFO  ProgressMeter -          10:45720751             10.0              22694000        2266117.9
21:25:49.003 INFO  ProgressMeter -          10:46483354             10.2              23089000        2267762.8
21:25:59.005 INFO  ProgressMeter -          10:47345878             10.3              23474000        2268413.8
21:26:09.019 INFO  ProgressMeter -          10:48214503             10.5              23853000        2268455.6
21:26:19.038 INFO  ProgressMeter -          10:49099452             10.7              24234000        2268662.1
21:26:29.041 INFO  ProgressMeter -          10:49964699             10.8              24613000        2268730.2
21:26:39.054 INFO  ProgressMeter -          10:50785339             11.0              25004000        2269854.6
21:26:49.072 INFO  ProgressMeter -          10:51567370             11.2              25397000        2271110.9
21:26:59.071 INFO  ProgressMeter -          10:52321586             11.3              25785000        2271946.3
21:27:09.089 INFO  ProgressMeter -          10:53075092             11.5              26181000        2273393.0
21:27:19.096 INFO  ProgressMeter -          10:53788225             11.7              26577000        2274834.1
21:27:29.111 INFO  ProgressMeter -          10:54533311             11.8              26969000        2275874.6
21:27:39.130 INFO  ProgressMeter -          10:55340161             12.0              27359000        2276700.8
21:27:49.151 INFO  ProgressMeter -          10:56162200             12.2              27749000        2277504.4
21:27:59.164 INFO  ProgressMeter -          10:56941235             12.4              28140000        2278385.7
21:28:09.177 INFO  ProgressMeter -          10:57694951             12.5              28529000        2279086.7
21:28:19.187 INFO  ProgressMeter -          10:58627050             12.7              28926000        2280412.0
21:28:29.206 INFO  ProgressMeter -          10:59312847             12.9              29319000        2281373.9
21:28:39.220 INFO  ProgressMeter -          10:59985724             13.0              29713000        2282376.2
21:28:49.227 INFO  ProgressMeter -          10:60651783             13.2              30104000        2283160.2
21:28:59.249 INFO  ProgressMeter -          10:61337182             13.4              30499000        2284181.5
21:29:09.274 INFO  ProgressMeter -          10:62011612             13.5              30894000        2285171.9
21:29:19.293 INFO  ProgressMeter -          10:62691775             13.7              31287000        2286003.1
21:29:29.304 INFO  ProgressMeter -          10:63407532             13.9              31679000        2286766.8
21:29:39.316 INFO  ProgressMeter -          10:64160730             14.0              32064000        2287013.1
21:29:49.328 INFO  ProgressMeter -          10:64955758             14.2              32452000        2287473.1
21:29:59.327 INFO  ProgressMeter -          10:65787058             14.4              32834000        2287525.7
21:30:09.324 INFO  ProgressMeter -          10:66566481             14.5              33222000        2287987.6
21:30:19.330 INFO  ProgressMeter -          10:67275586             14.7              33615000        2288766.6
21:30:29.347 INFO  ProgressMeter -          10:67976329             14.9              34007000        2289435.0
21:30:39.351 INFO  ProgressMeter -          10:68667823             15.0              34401000        2290249.6
21:30:49.362 INFO  ProgressMeter -          10:69381479             15.2              34792000        2290833.8
21:30:59.368 INFO  ProgressMeter -          10:70040158             15.4              35167000        2290385.6
21:31:09.370 INFO  ProgressMeter -          10:70713940             15.5              35558000        2290968.0
21:31:19.393 INFO  ProgressMeter -          10:71406149             15.7              35948000        2291432.9
21:31:29.416 INFO  ProgressMeter -          10:72170537             15.9              36339000        2291951.1
21:31:39.426 INFO  ProgressMeter -          10:72923637             16.0              36732000        2292614.4
21:31:49.432 INFO  ProgressMeter -          10:73705431             16.2              37118000        2292841.0
21:31:59.438 INFO  ProgressMeter -          10:74429023             16.4              37473000        2291167.6
21:32:09.453 INFO  ProgressMeter -          10:75131058             16.5              37853000        2291020.2
21:32:19.469 INFO  ProgressMeter -          10:75783496             16.7              38254000        2292131.9
21:32:29.471 INFO  ProgressMeter -          10:76453386             16.9              38650000        2292956.6
21:32:39.492 INFO  ProgressMeter -          10:77113371             17.0              39045000        2293666.0
21:32:49.502 INFO  ProgressMeter -          10:77765872             17.2              39440000        2294381.7
21:32:59.511 INFO  ProgressMeter -          10:78426872             17.4              39833000        2294972.7
21:33:09.517 INFO  ProgressMeter -          10:79169958             17.5              40225000        2295504.2
21:33:19.526 INFO  ProgressMeter -          10:79869875             17.7              40619000        2296127.9
21:33:29.536 INFO  ProgressMeter -          10:80493421             17.9              41022000        2297243.9
21:33:39.539 INFO  ProgressMeter -          10:81119511             18.0              41423000        2298243.2
21:33:49.568 INFO  ProgressMeter -          10:82019834             18.2              41815000        2298676.8
21:33:59.580 INFO  ProgressMeter -          10:82751958             18.4              42207000        2299133.8
21:34:09.587 INFO  ProgressMeter -          10:83416016             18.5              42600000        2299648.9
21:34:19.601 INFO  ProgressMeter -          10:84104111             18.7              42993000        2300140.5
21:34:29.601 INFO  ProgressMeter -          10:84784896             18.9              43386000        2300651.9
21:34:39.610 INFO  ProgressMeter -          10:85450085             19.0              43783000        2301346.4
21:34:49.628 INFO  ProgressMeter -          10:86116139             19.2              44175000        2301750.3
21:34:59.643 INFO  ProgressMeter -          10:86751284             19.4              44565000        2302049.9
21:35:09.664 INFO  ProgressMeter -          10:87484451             19.5              44956000        2302383.8
21:35:19.683 INFO  ProgressMeter -          10:88212830             19.7              45352000        2302969.8
21:35:29.686 INFO  ProgressMeter -          10:88906793             19.9              45742000        2303274.7
21:35:39.689 INFO  ProgressMeter -          10:89622077             20.0              46127000        2303325.0
21:35:49.707 INFO  ProgressMeter -          10:90388651             20.2              46508000        2303149.7
21:35:59.722 INFO  ProgressMeter -          10:91071175             20.4              46886000        2302831.8
21:36:09.736 INFO  ProgressMeter -          10:91773475             20.5              47282000        2303399.7
21:36:19.747 INFO  ProgressMeter -          10:92493446             20.7              47671000        2303627.6
21:36:29.761 INFO  ProgressMeter -          10:93217423             20.9              48059000        2303798.4
21:36:39.777 INFO  ProgressMeter -          10:93907385             21.0              48437000        2303487.2
21:36:49.784 INFO  ProgressMeter -          10:94579394             21.2              48825000        2303661.9
