16:16:01.955 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:16:01.986 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression8336780628568296744.so: /tmp/mleukam/libgkl_compression8336780628568296744.so: failed to map segment from shared object: Operation not permitted)
16:16:01.988 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:16:02.011 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression3740477886140903901.so: /tmp/mleukam/libgkl_compression3740477886140903901.so: failed to map segment from shared object: Operation not permitted)
16:16:02.178 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.179 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.0.6.0
16:16:02.179 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
16:16:02.179 INFO  BaseRecalibrator - Executing as mleukam@cri16cn228 on Linux v2.6.32-573.12.1.el6.x86_64 amd64
16:16:02.179 INFO  BaseRecalibrator - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_92-b14
16:16:02.179 INFO  BaseRecalibrator - Start Date/Time: February 21, 2019 4:16:01 PM CST
16:16:02.179 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.179 INFO  BaseRecalibrator - ------------------------------------------------------------
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Version: 2.16.0
16:16:02.180 INFO  BaseRecalibrator - Picard Version: 2.18.7
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:16:02.180 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:16:02.180 INFO  BaseRecalibrator - Deflater: JdkDeflater
16:16:02.180 INFO  BaseRecalibrator - Inflater: JdkInflater
16:16:02.180 INFO  BaseRecalibrator - GCS max retries/reopens: 20
16:16:02.180 INFO  BaseRecalibrator - Using google-cloud-java patch 6d11bef1c81f885c26b2b56c8616b7a705171e4f from https://github.com/droazen/google-cloud-java/tree/dr_all_nio_fixes
16:16:02.180 INFO  BaseRecalibrator - Initializing engine
16:16:02.724 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
16:16:02.740 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
16:16:03.141 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.indels.dbSNP142.normed.vcf
16:16:03.307 INFO  FeatureManager - Using codec VCFCodec to read file file:///scratch/mleukam/mouse/mgp.v5.merged.snps_all.dbSNP142.vcf
16:16:03.401 INFO  BaseRecalibrator - Done initializing engine
16:16:03.439 INFO  BaseRecalibrationEngine - The covariates being used here: 
16:16:03.439 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	ContextCovariate
16:16:03.439 INFO  BaseRecalibrationEngine - 	CycleCovariate
16:16:03.443 INFO  ProgressMeter - Starting traversal
16:16:03.444 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:16:13.527 INFO  ProgressMeter -           10:3162418              0.2                 31000         184487.2
16:16:23.602 INFO  ProgressMeter -           10:3592568              0.3                271000         806627.6
16:16:33.619 INFO  ProgressMeter -           10:4200718              0.5                612000        1217062.7
16:16:43.638 INFO  ProgressMeter -           10:4843929              0.7                962000        1436035.2
16:16:53.650 INFO  ProgressMeter -           10:5490282              0.8               1309000        1564386.0
16:17:03.658 INFO  ProgressMeter -           10:6146708              1.0               1658000        1652107.5
16:17:13.675 INFO  ProgressMeter -           10:6866875              1.2               2016000        1722316.4
16:17:23.698 INFO  ProgressMeter -           10:7480864              1.3               2365000        1768158.2
16:17:33.718 INFO  ProgressMeter -           10:8202139              1.5               2740000        1821142.5
16:17:43.720 INFO  ProgressMeter -           10:8872176              1.7               3116000        1864472.7
16:17:53.739 INFO  ProgressMeter -           10:9555826              1.8               3492000        1899632.8
16:18:03.745 INFO  ProgressMeter -          10:10268808              2.0               3872000        1931156.0
16:18:13.764 INFO  ProgressMeter -          10:10988207              2.2               4246000        1954895.3
16:18:23.782 INFO  ProgressMeter -          10:11702747              2.3               4622000        1976100.4
16:18:33.803 INFO  ProgressMeter -          10:12435142              2.5               4993000        1992431.4
16:18:43.804 INFO  ProgressMeter -          10:13099737              2.7               5364000        2006996.8
16:18:53.810 INFO  ProgressMeter -          10:13743099              2.8               5739000        2021177.9
16:19:03.825 INFO  ProgressMeter -          10:14408489              3.0               6112000        2033030.1
16:19:13.843 INFO  ProgressMeter -          10:15167163              3.2               6487000        2044244.2
16:19:23.845 INFO  ProgressMeter -          10:16019443              3.3               6853000        2051786.2
16:19:33.848 INFO  ProgressMeter -          10:16836409              3.5               7221000        2059181.4
16:19:43.854 INFO  ProgressMeter -          10:17581177              3.7               7601000        2069143.9
16:19:53.857 INFO  ProgressMeter -          10:18247059              3.8               7977000        2077235.6
16:20:03.868 INFO  ProgressMeter -          10:18915401              4.0               8353000        2084567.3
16:20:13.892 INFO  ProgressMeter -          10:19593680              4.2               8730000        2091468.8
16:20:23.895 INFO  ProgressMeter -          10:20253038              4.3               9105000        2097523.5
16:20:33.912 INFO  ProgressMeter -          10:20916525              4.5               9483000        2103686.9
16:20:43.914 INFO  ProgressMeter -          10:21584605              4.7               9862000        2109751.9
16:20:53.918 INFO  ProgressMeter -          10:22157104              4.8              10237000        2114572.9
16:21:03.937 INFO  ProgressMeter -          10:22807418              5.0              10595000        2115523.5
16:21:13.944 INFO  ProgressMeter -          10:23533186              5.2              10972000        2120206.9
16:21:23.945 INFO  ProgressMeter -          10:24234289              5.3              11343000        2123487.9
16:21:33.948 INFO  ProgressMeter -          10:24902924              5.5              11714000        2126570.3
16:21:43.963 INFO  ProgressMeter -          10:25580308              5.7              12088000        2129925.2
16:21:53.979 INFO  ProgressMeter -          10:26297770              5.8              12463000        2133259.5
16:22:03.985 INFO  ProgressMeter -          10:27003245              6.0              12841000        2136955.3
16:22:14.003 INFO  ProgressMeter -          10:27733635              6.2              13210000        2138930.6
16:22:24.011 INFO  ProgressMeter -          10:28453780              6.3              13584000        2141646.5
16:22:34.014 INFO  ProgressMeter -          10:29197852              6.5              13954000        2143636.2
16:22:44.029 INFO  ProgressMeter -          10:29951072              6.7              14336000        2147259.6
16:22:54.052 INFO  ProgressMeter -          10:30695278              6.8              14714000        2150085.1
16:23:04.057 INFO  ProgressMeter -          10:31397299              7.0              15089000        2152429.9
16:23:14.069 INFO  ProgressMeter -          10:32132533              7.2              15462000        2154362.0
16:23:24.068 INFO  ProgressMeter -          10:32921580              7.3              15838000        2156668.7
16:23:34.082 INFO  ProgressMeter -          10:33704712              7.5              16203000        2157341.4
16:23:44.099 INFO  ProgressMeter -          10:34401720              7.7              16581000        2159668.6
16:23:54.100 INFO  ProgressMeter -          10:35161268              7.8              16957000        2161706.2
