17:58:06.322 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
17:58:06.361 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression6894505879583744658.so: /tmp/mleukam/libgkl_compression6894505879583744658.so: failed to map segment from shared object: Operation not permitted)
17:58:06.363 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
17:58:06.384 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression6231715554827539533.so: /tmp/mleukam/libgkl_compression6231715554827539533.so: failed to map segment from shared object: Operation not permitted)
17:58:06.559 INFO  ApplyBQSR - ------------------------------------------------------------
17:58:06.559 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.0.6.0
17:58:06.559 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
17:58:06.560 INFO  ApplyBQSR - Executing as mleukam@cri16cn226 on Linux v2.6.32-573.12.1.el6.x86_64 amd64
17:58:06.560 INFO  ApplyBQSR - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_92-b14
17:58:06.560 INFO  ApplyBQSR - Start Date/Time: August 20, 2018 5:58:06 PM CDT
17:58:06.560 INFO  ApplyBQSR - ------------------------------------------------------------
17:58:06.560 INFO  ApplyBQSR - ------------------------------------------------------------
17:58:06.561 INFO  ApplyBQSR - HTSJDK Version: 2.16.0
17:58:06.561 INFO  ApplyBQSR - Picard Version: 2.18.7
17:58:06.561 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
17:58:06.561 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
17:58:06.561 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
17:58:06.561 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
17:58:06.561 INFO  ApplyBQSR - Deflater: JdkDeflater
17:58:06.561 INFO  ApplyBQSR - Inflater: JdkInflater
17:58:06.561 INFO  ApplyBQSR - GCS max retries/reopens: 20
17:58:06.561 INFO  ApplyBQSR - Using google-cloud-java patch 6d11bef1c81f885c26b2b56c8616b7a705171e4f from https://github.com/droazen/google-cloud-java/tree/dr_all_nio_fixes
17:58:06.561 INFO  ApplyBQSR - Initializing engine
17:58:07.864 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
17:58:07.868 WARN  IntelDeflaterFactory - IntelInflater is not supported, using Java.util.zip.Inflater
17:58:08.725 INFO  ApplyBQSR - Done initializing engine
17:58:08.775 WARN  IntelDeflaterFactory - IntelDeflater is not supported, using Java.util.zip.Deflater
17:58:08.952 INFO  ProgressMeter - Starting traversal
17:58:08.953 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
17:58:18.959 INFO  ProgressMeter -         chr1:1333513              0.2                 68000         407796.1
17:58:28.971 INFO  ProgressMeter -        chr1:11744515              0.3                392000        1174942.6
17:58:39.004 INFO  ProgressMeter -        chr1:21236785              0.5                730000        1457861.8
17:58:49.008 INFO  ProgressMeter -        chr1:30950135              0.7               1076000        1611864.3
17:58:59.009 INFO  ProgressMeter -        chr1:39967285              0.8               1414000        1694935.6
17:59:09.025 INFO  ProgressMeter -        chr1:48818296              1.0               1762000        1759888.1
17:59:19.033 INFO  ProgressMeter -        chr1:67182889              1.2               2108000        1804794.5
17:59:29.049 INFO  ProgressMeter -        chr1:91514817              1.3               2449000        1834548.5
17:59:39.074 INFO  ProgressMeter -       chr1:110223317              1.5               2789000        1856857.5
17:59:49.099 INFO  ProgressMeter -       chr1:145618339              1.7               3142000        1882508.0
17:59:59.099 INFO  ProgressMeter -       chr1:151782847              1.8               3479000        1895138.2
18:00:09.124 INFO  ProgressMeter -       chr1:155611150              2.0               3820000        1907298.0
18:00:19.130 INFO  ProgressMeter -       chr1:160291582              2.2               4173000        1923381.2
18:00:29.156 INFO  ProgressMeter -       chr1:170983740              2.3               4521000        1934766.0
18:00:39.160 INFO  ProgressMeter -       chr1:183234451              2.5               4872000        1946114.4
18:00:49.168 INFO  ProgressMeter -       chr1:202604706              2.7               5223000        1955996.6
18:00:59.195 INFO  ProgressMeter -       chr1:214632486              2.8               5570000        1963099.4
18:01:09.196 INFO  ProgressMeter -       chr1:230514337              3.0               5920000        1970672.9
18:01:19.217 INFO  ProgressMeter -       chr1:248022300              3.2               6267000        1976306.6
18:01:29.233 INFO  ProgressMeter -        chr2:15596695              3.3               6615000        1981725.6
18:01:39.244 INFO  ProgressMeter -        chr2:27071425              3.5               6962000        1986399.7
18:01:49.264 INFO  ProgressMeter -        chr2:33021167              3.7               7305000        1989460.4
18:01:59.291 INFO  ProgressMeter -        chr2:46512126              3.8               7657000        1994547.1
18:02:09.311 INFO  ProgressMeter -        chr2:62942620              4.0               8009000        1999267.8
18:02:19.313 INFO  ProgressMeter -        chr2:74254619              4.2               8361000        2003754.6
18:02:29.318 INFO  ProgressMeter -        chr2:91685246              4.3               8710000        2007182.2
18:02:39.339 INFO  ProgressMeter -       chr2:102445018              4.5               9062000        2010910.4
18:02:49.339 INFO  ProgressMeter -       chr2:127584161              4.7               9410000        2013652.6
18:02:59.343 INFO  ProgressMeter -       chr2:151695594              4.8               9757000        2015978.5
18:03:09.355 INFO  ProgressMeter -       chr2:169810805              5.0              10108000        2018921.6
18:03:19.368 INFO  ProgressMeter -       chr2:178720123              5.2              10463000        2022389.4
18:03:29.395 INFO  ProgressMeter -       chr2:197501064              5.3              10817000        2025389.9
18:03:39.423 INFO  ProgressMeter -       chr2:215318115              5.5              11169000        2027845.3
18:03:49.432 INFO  ProgressMeter -       chr2:229830740              5.7              11516000        2029376.3
18:03:59.445 INFO  ProgressMeter -       chr2:241107264              5.8              11867000        2031487.2
18:04:09.466 INFO  ProgressMeter -        chr3:15013622              6.0              12211000        2032276.3
18:04:19.485 INFO  ProgressMeter -        chr3:38614076              6.2              12564000        2034485.6
18:04:29.512 INFO  ProgressMeter -        chr3:48468911              6.3              12916000        2036372.8
18:04:39.521 INFO  ProgressMeter -        chr3:52402382              6.5              13267000        2038113.8
18:04:49.527 INFO  ProgressMeter -        chr3:71696434              6.7              13619000        2039922.7
18:04:59.537 INFO  ProgressMeter -       chr3:111144822              6.8              13969000        2041336.2
18:05:09.544 INFO  ProgressMeter -       chr3:125019295              7.0              14320000        2042839.7
18:05:19.552 INFO  ProgressMeter -       chr3:138601469              7.2              14672000        2044412.7
18:05:29.558 INFO  ProgressMeter -       chr3:160756304              7.3              15023000        2045778.0
18:05:39.571 INFO  ProgressMeter -       chr3:185619414              7.5              15375000        2047188.5
18:05:49.582 INFO  ProgressMeter -         chr4:1982800              7.7              15723000        2048034.5
18:05:59.605 INFO  ProgressMeter -        chr4:20983830              7.8              16072000        2048902.4
18:06:09.623 INFO  ProgressMeter -        chr4:52027950              8.0              16424000        2050138.3
18:06:19.644 INFO  ProgressMeter -        chr4:76115471              8.2              16775000        2051189.0
18:06:29.680 INFO  ProgressMeter -        chr4:99347721              8.3              17126000        2052181.3
18:06:39.683 INFO  ProgressMeter -       chr4:121932931              8.5              17477000        2053182.8
18:06:49.686 INFO  ProgressMeter -       chr4:151101251              8.7              17826000        2053950.9
18:06:59.691 INFO  ProgressMeter -       chr4:182736744              8.8              18176000        2054799.2
18:07:09.782 INFO  ProgressMeter -        chr5:14290712              9.0              18523000        2055294.6
18:07:19.694 INFO  ProgressMeter -        chr5:42695022              9.2              18869000        2055666.8
18:07:29.711 INFO  ProgressMeter -        chr5:73567345              9.3              19219000        2056398.8
18:07:39.734 INFO  ProgressMeter -        chr5:96416050              9.5              19570000        2057181.3
18:07:49.750 INFO  ProgressMeter -       chr5:128318153              9.7              19920000        2057865.4
18:07:59.750 INFO  ProgressMeter -       chr5:140869700              9.8              20272000        2058778.2
18:08:09.777 INFO  ProgressMeter -       chr5:150436998             10.0              20624000        2059571.5
18:08:19.790 INFO  ProgressMeter -       chr5:174046760             10.2              20974000        2060192.9
