19:29:23.147 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
19:29:23.201 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression712194377067259456.so: /tmp/mleukam/libgkl_compression712194377067259456.so: failed to map segment from shared object: Operation not permitted)
19:29:23.203 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/gpfs/apps/haswell/software/java-jdk-1.8.0_92/gatk/4.0.6.0/gatk-package-4.0.6.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
19:29:23.226 WARN  NativeLibraryLoader - Unable to load libgkl_compression.so from native/libgkl_compression.so (/tmp/mleukam/libgkl_compression6365466089247171609.so: /tmp/mleukam/libgkl_compression6365466089247171609.so: failed to map segment from shared object: Operation not permitted)
19:29:23.391 INFO  IndexFeatureFile - ------------------------------------------------------------
19:29:23.392 INFO  IndexFeatureFile - The Genome Analysis Toolkit (GATK) v4.0.6.0
19:29:23.392 INFO  IndexFeatureFile - For support and documentation go to https://software.broadinstitute.org/gatk/
19:29:23.392 INFO  IndexFeatureFile - Executing as mleukam@cri16cn047 on Linux v2.6.32-573.12.1.el6.x86_64 amd64
19:29:23.392 INFO  IndexFeatureFile - Java runtime: Java HotSpot(TM) 64-Bit Server VM v1.8.0_92-b14
19:29:23.392 INFO  IndexFeatureFile - Start Date/Time: August 17, 2018 7:29:22 PM CDT
19:29:23.392 INFO  IndexFeatureFile - ------------------------------------------------------------
19:29:23.392 INFO  IndexFeatureFile - ------------------------------------------------------------
19:29:23.393 INFO  IndexFeatureFile - HTSJDK Version: 2.16.0
19:29:23.393 INFO  IndexFeatureFile - Picard Version: 2.18.7
19:29:23.393 INFO  IndexFeatureFile - HTSJDK Defaults.COMPRESSION_LEVEL : 2
19:29:23.393 INFO  IndexFeatureFile - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
19:29:23.393 INFO  IndexFeatureFile - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
19:29:23.393 INFO  IndexFeatureFile - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
19:29:23.393 INFO  IndexFeatureFile - Deflater: JdkDeflater
19:29:23.393 INFO  IndexFeatureFile - Inflater: JdkInflater
19:29:23.393 INFO  IndexFeatureFile - GCS max retries/reopens: 20
19:29:23.393 INFO  IndexFeatureFile - Using google-cloud-java patch 6d11bef1c81f885c26b2b56c8616b7a705171e4f from https://github.com/droazen/google-cloud-java/tree/dr_all_nio_fixes
19:29:23.393 INFO  IndexFeatureFile - Initializing engine
19:29:23.394 INFO  IndexFeatureFile - Done initializing engine
19:29:24.208 INFO  FeatureManager - Using codec VCFCodec to read file file:///group/kline-lab/ref/dbsnp_151.vcf
19:29:24.236 INFO  ProgressMeter - Starting traversal
19:29:24.237 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Records Processed   Records/Minute
19:29:34.240 INFO  ProgressMeter -         chr1:5730523              0.2               1418000        8506298.7
19:29:44.241 INFO  ProgressMeter -        chr1:13293009              0.3               3205000        9614038.6
19:29:54.244 INFO  ProgressMeter -        chr1:21548827              0.5               5144000       10285600.0
19:30:04.247 INFO  ProgressMeter -        chr1:30710220              0.7               7232000       10845559.7
19:30:14.250 INFO  ProgressMeter -        chr1:39867554              0.8               9288000       11142925.7
19:30:24.252 INFO  ProgressMeter -        chr1:49071949              1.0              11315000       11312548.9
19:30:34.252 INFO  ProgressMeter -        chr1:58439457              1.2              13372000       11459422.4
19:30:44.254 INFO  ProgressMeter -        chr1:67929908              1.3              15439000       11576789.9
19:30:54.258 INFO  ProgressMeter -        chr1:77219719              1.5              17495000       11660612.5
19:31:04.262 INFO  ProgressMeter -        chr1:86502843              1.7              19547000       11725385.9
19:31:14.263 INFO  ProgressMeter -        chr1:96148611              1.8              21624000       11792121.9
19:31:24.266 INFO  ProgressMeter -       chr1:105385902              2.0              23732000       11863133.1
19:31:34.270 INFO  ProgressMeter -       chr1:114832352              2.2              25827000       11917312.0
19:31:44.270 INFO  ProgressMeter -       chr1:123935748              2.3              27951000       11976348.1
19:31:54.270 INFO  ProgressMeter -       chr1:151824386              2.5              29975000       11987442.7
19:32:04.270 INFO  ProgressMeter -       chr1:160686393              2.7              32031000       12009223.2
19:32:14.272 INFO  ProgressMeter -       chr1:170048383              2.8              34099000       12032463.9
19:32:24.276 INFO  ProgressMeter -       chr1:179361618              3.0              36132000       12041457.9
19:32:34.279 INFO  ProgressMeter -       chr1:188670617              3.2              38177000       12053293.8
19:32:44.281 INFO  ProgressMeter -       chr1:197779636              3.3              40300000       12087461.6
19:32:54.282 INFO  ProgressMeter -       chr1:207293243              3.5              42368000       12102607.1
19:33:04.283 INFO  ProgressMeter -       chr1:216517576              3.7              44379000       12100833.5
19:33:14.284 INFO  ProgressMeter -       chr1:225900774              3.8              46437000       12111525.0
19:33:24.286 INFO  ProgressMeter -       chr1:235192986              4.0              48509000       12124774.5
19:33:34.287 INFO  ProgressMeter -       chr1:244078308              4.2              50518000       12121895.6
19:33:44.287 INFO  ProgressMeter -         chr2:2785597              4.3              52325000       12072678.3
19:33:54.291 INFO  ProgressMeter -        chr2:11499986              4.5              54375000       12080917.1
19:34:04.291 INFO  ProgressMeter -        chr2:20342418              4.7              56371000       12077170.8
19:34:14.294 INFO  ProgressMeter -        chr2:29114764              4.8              58365000       12073144.2
19:34:24.294 INFO  ProgressMeter -        chr2:37162861              5.0              60372000       12072106.3
19:34:34.295 INFO  ProgressMeter -        chr2:44302130              5.2              62297000       12055267.3
19:34:44.296 INFO  ProgressMeter -        chr2:51596669              5.3              64211000       12037343.1
19:34:54.300 INFO  ProgressMeter -        chr2:59230794              5.5              66176000       12029739.9
19:35:04.303 INFO  ProgressMeter -        chr2:67139990              5.7              68022000       12001552.6
19:35:14.306 INFO  ProgressMeter -        chr2:74999287              5.8              69804000       11964041.4
19:35:24.308 INFO  ProgressMeter -        chr2:83142100              6.0              71728000       11952342.6
19:35:34.307 INFO  ProgressMeter -        chr2:91856220              6.2              73482000       11913746.0
19:35:44.310 INFO  ProgressMeter -        chr2:99072381              6.3              75118000       11858521.2
19:35:54.308 INFO  ProgressMeter -       chr2:106787024              6.5              76879000       11825385.6
19:36:04.308 INFO  ProgressMeter -       chr2:115685141              6.7              78765000       11812653.3
19:36:14.313 INFO  ProgressMeter -       chr2:124755082              6.8              80853000       11829982.3
19:36:24.316 INFO  ProgressMeter -       chr2:133488513              7.0              82871000       11836487.9
19:36:34.318 INFO  ProgressMeter -       chr2:142504806              7.2              84878000       11841238.8
19:36:44.320 INFO  ProgressMeter -       chr2:152037444              7.3              86967000       11856899.7
19:36:54.321 INFO  ProgressMeter -       chr2:161526668              7.5              89041000       11869917.6
19:37:04.409 INFO  ProgressMeter -       chr2:170703770              7.7              91078000       11875324.6
19:37:14.412 INFO  ProgressMeter -       chr2:180179205              7.8              93152000       11887343.8
19:37:24.417 INFO  ProgressMeter -       chr2:189668105              8.0              95262000       11903410.2
19:37:34.414 INFO  ProgressMeter -       chr2:199194874              8.2              97349000       11915981.4
19:37:44.415 INFO  ProgressMeter -       chr2:208456178              8.3              99373000       11920516.3
19:37:54.416 INFO  ProgressMeter -       chr2:217468242              8.5             101411000       11926519.9
19:38:04.419 INFO  ProgressMeter -       chr2:226479120              8.7             103440000       11931231.6
19:38:14.424 INFO  ProgressMeter -       chr2:235275762              8.8             105473000       11936128.2
19:38:24.427 INFO  ProgressMeter -          chr3:175940              9.0             107199000       11906810.6
19:38:34.432 INFO  ProgressMeter -         chr3:7827608              9.2             109227000       11911514.5
19:38:44.432 INFO  ProgressMeter -        chr3:16102564              9.3             111162000       11906089.7
19:38:54.461 INFO  ProgressMeter -        chr3:24784471              9.5             113226000       11914387.6
19:39:04.437 INFO  ProgressMeter -        chr3:33409362              9.7             115255000       11918821.1
19:39:14.437 INFO  ProgressMeter -        chr3:42196962              9.8             117226000       11917248.4
19:39:24.438 INFO  ProgressMeter -        chr3:50963132             10.0             119181000       11914108.8
19:39:34.441 INFO  ProgressMeter -        chr3:59789314             10.2             121184000       11915752.8
